label,value
Bitcoin,BTCUSD
Ethereum,ETHUSD
Tether,USDTUSD
XRP,XRPUSD
Bitcoin Cash,BCHUSD
Litecoin,LTCUSD
Binance Coin,BNBUSD
EOS,EOSUSD
Cardano,ADAUSD
Stellar,XLMUSD
Chainlink,LINKUSD
Monero,XMRUSD
TRON,TRXUSD
Neo,NEOUSD
Ethereum Classic,ETCUSD
Dash,DASHUSD
IOTA,MIOTAUSD
VeChain,VETUSD
Zcash,ZECUSD
NEM,XEMUSD
Basic Attention Token,BATUSD
Dogecoin,DOGEUSD
DigiByte,DGBUSD
0x,ZRXUSD
OMG Network,OMGUSD
Kyber Network,KNCUSD
Decred,DCRUSD
ICON,ICXUSD
Augur,REPUSD
Qtum,QTUMUSD
Bitcoin Gold,BTGUSD
Lisk,LSKUSD
Nano,NANOUSD
Siacoin,SCUSD
Waves,WAVESUSD
Verge,XVGUSD
MonaCoin,MONAUSD
Loopring,LRCUSD
Komodo,KMDUSD
Status,SNTUSD
MCO,MCOUSD
Steem,STEEMUSD
Horizen,ZENUSD
BitShares,BTSUSD
Bancor,BNTUSD
MaidSafeCoin,MAIDUSD
HyperCash,HCUSD
Golem,GNTUSD
Ardor,ARDRUSD
Zcoin,XZCUSD
Aeternity,AEUSD
Bytecoin,BCNUSD
Stratis,STRATUSD
iExec RLC,RLCUSD
Aragon,ANTUSD
Gnosis,GNOUSD
Ark,ARKUSD
PIVX,PIVXUSD
BitcoinDark,BTCDUSD
Waltonchain,WTCUSD
Storj,STORJUSD
FunFair,FUNUSD
Civic,CVCUSD
Metal,MTLUSD
Populous,PPTUSD
Iconomi,ICNUSD
Syscoin,SYSUSD
Gas,GASUSD
Vertcoin,VTCUSD
Factom,FCTUSD
Obyte,GBYTEUSD
Voyager Token,VGXUSD
Nexus,NXSUSD
Blocknet,BLOCKUSD
Nxt,NXTUSD
QASH,QASHUSD
Veritaseum,VERIUSD
Neblio,NEBLUSD
NavCoin,NAVUSD
SingularDTV,SNGLSUSD
DigixDAO,DGDUSD
AdEx,ADXUSD
Kin,KINUSD
Metaverse ETP,ETPUSD
Melon,MLNUSD
Particl,PARTUSD
TaaS,TAASUSD
Quantum Resistant Ledger,QRLUSD
TenX,PAYUSD
Ethos,ETHOSUSD
SALT,SALTUSD
Wings,WINGSUSD
district0x,DNTUSD
Ubiq,UBQUSD
GameCredits,GAMEUSD
Dentacoin,DCNUSD
Lykke,LKKUSD
SONM,SNMUSD
Counterparty,XCPUSD
FairCoin,FAIRUSD
I/O Coin,IOCUSD
Substratum,SUBUSD
Edgeless,EDGUSD
MobileGo,MGOUSD
NoLimitCoin,NLC2USD
Bitmark,BTM1USD
ATBCoin,ATBUSD
MCAP,MCAPUSD
FirstCoin,FRSTUSD
Exchange Union,XUCUSD
